Time,Close,Difference
3/23/2022,25200,-100
3/24/2022,25450,250
3/25/2022,25350,-100
3/28/2022,24950,-400
3/29/2022,25100,150
3/30/2022,24900,-200
3/31/2022,24900,0
4/1/2022,25050,150
4/4/2022,24900,-150
4/5/2022,25200,300
4/6/2022,24950,-250
4/7/2022,24700,-250
4/8/2022,24100,-600
4/12/2022,24000,-100
4/13/2022,23850,-150
4/14/2022,24000,150
4/15/2022,23400,-600
4/18/2022,22550,-850
4/19/2022,22300,-250
4/20/2022,22550,250
4/21/2022,22300,-250
4/22/2022,21900,-400
4/25/2022,20700,-1200
4/26/2022,21500,800
4/27/2022,21850,350
4/28/2022,21700,-150
4/29/2022,21750,50
5/4/2022,22300,550
5/5/2022,21950,-350
5/6/2022,21000,-950
5/9/2022,19550,-1450
5/10/2022,20100,550
5/11/2022,20300,200
5/12/2022,19000,-1300
5/13/2022,17750,-1250
5/16/2022,18100,350
5/17/2022,19200,1100
5/18/2022,18800,-400
5/19/2022,18350,-450
5/20/2022,18400,50
5/23/2022,17850,-550
5/24/2022,17400,-450
5/25/2022,17800,400
5/26/2022,17850,50
5/27/2022,18600,750
5/30/2022,19150,550
5/31/2022,18650,-500
6/1/2022,18600,-50
6/2/2022,18000,-600
6/3/2022,18050,50
6/6/2022,17900,-150
6/7/2022,17650,-250
6/8/2022,18050,400
6/9/2022,18500,450
6/10/2022,18000,-500
6/13/2022,17100,-900
6/14/2022,17100,0
6/15/2022,16150,-950
6/16/2022,16250,100
6/17/2022,15600,-650
6/20/2022,14600,-1000
6/21/2022,14950,350
6/22/2022,15350,400
6/23/2022,15300,-50
6/24/2022,15250,-50
6/27/2022,16300,1050
6/28/2022,16500,200
6/29/2022,16050,-450
6/30/2022,15500,-550
7/1/2022,15600,100
7/4/2022,15750,150
7/5/2022,15450,-300
7/6/2022,15600,150
7/7/2022,15650,50
7/8/2022,16350,700
7/11/2022,16300,-50
7/12/2022,16350,50
7/13/2022,16450,100
7/14/2022,16450,0
7/15/2022,16400,-50
7/18/2022,16400,0
7/19/2022,16400,0
7/20/2022,16600,200
7/21/2022,16450,-150
7/22/2022,16600,150
7/25/2022,16350,-250
7/26/2022,16200,-150
7/27/2022,15950,-250
7/28/2022,16100,150
7/29/2022,16500,400
8/1/2022,16950,450
8/2/2022,16950,0
8/3/2022,17050,100
8/4/2022,17100,50
8/5/2022,17800,700
8/8/2022,17600,-200
8/9/2022,17550,-50
8/10/2022,18100,550
8/11/2022,17800,-300
8/12/2022,17850,50
8/15/2022,17650,-200
8/16/2022,17700,50
8/17/2022,17350,-350
8/18/2022,17350,0
8/19/2022,17400,50
8/22/2022,17400,0
8/23/2022,17450,50
8/24/2022,17900,450
8/25/2022,17900,0
8/26/2022,17650,-250
8/29/2022,17050,-600
8/30/2022,17100,50
8/31/2022,17250,150
9/5/2022,17000,-250
9/6/2022,16850,-150
9/7/2022,16250,-600
9/8/2022,15150,-1100
9/9/2022,14850,-300
9/12/2022,14650,-200
9/13/2022,14800,150
9/14/2022,14750,-50
9/15/2022,15150,400
9/16/2022,14850,-300
9/19/2022,14550,-300
9/20/2022,14950,400
9/21/2022,14650,-300
9/22/2022,14800,150
9/23/2022,14600,-200
9/26/2022,14250,-350
9/27/2022,14050,-200
9/28/2022,13650,-400
9/29/2022,13600,-50
9/30/2022,13350,-250
10/3/2022,12500,-850
10/4/2022,12400,-100
10/5/2022,12600,200
10/6/2022,12200,-400
10/7/2022,11350,-850
10/10/2022,11250,-100
10/11/2022,11000,-250
10/12/2022,11400,400
10/13/2022,11600,200
10/14/2022,11650,50
10/17/2022,11450,-200
10/18/2022,11650,200
10/19/2022,11800,150
10/20/2022,11700,-100
10/21/2022,11150,-550
10/24/2022,10550,-600
10/25/2022,10550,0
10/26/2022,10550,0
10/27/2022,10850,300
10/28/2022,10750,-100
10/31/2022,10800,50
11/1/2022,10900,100
11/2/2022,10900,0
11/3/2022,10850,-50
11/4/2022,10700,-150
11/7/2022,10100,-600
11/8/2022,10250,150
11/9/2022,10400,150
11/10/2022,9760,-640
11/11/2022,9900,140
11/14/2022,9250,-650
11/15/2022,8610,-640
11/16/2022,9210,600
11/17/2022,9420,210
11/18/2022,9300,-120
11/21/2022,9350,50
11/22/2022,9380,30
11/23/2022,9230,-150
11/24/2022,9220,-10
11/25/2022,9400,180
11/28/2022,10000,600
11/29/2022,10350,350
11/30/2022,10300,-50
12/1/2022,10450,150
12/2/2022,10650,200
12/5/2022,11050,400
12/6/2022,10600,-450
12/7/2022,10550,-50
